Date,Close,SMA_10,SMA_50,Signal,Position,Returns,Strategy_Returns
2021-01-01,209.93428306022463,,,0,,,
2021-01-02,407.168997036801,,,0,0.0,0.9395069309379778,0.0
2021-01-03,620.1227677988148,,,0,0.0,0.5230107702496969,0.0
2021-01-04,850.5833649269754,,,0,0.0,0.3716370517183274,0.0
2021-01-05,1045.9002974325088,,,0,0.0,0.22962703076411772,0.0
2021-01-06,1241.2175582935251,,,0,0.0,0.18674558305460276,0.0
2021-01-07,1472.801814603673,,,0,0.0,0.18657829545091098,0.0
2021-01-08,1688.1505091867311,,,0,0.0,0.14621702149450977,0.0
2021-01-09,1878.761021468032,,,0,0.0,0.11291085199099204,0.0
2021-01-10,2089.6122223397515,1150.4252836147039,,0,0.0,0.11222885639119973,0.0
2021-01-11,2280.3438684835023,1357.4662421570315,,0,0.0,0.09127609616017063,0.0
2021-01-12,2471.029273412097,1563.8522697945612,,0,0.0,0.083621337800867,0.0
2021-01-13,2675.868518843418,1769.4268448990217,,0,0.0,0.08289632487779897,0.0
2021-01-14,2837.602913950262,1968.12879980135,,0,0.0,0.06044183186427632,0.0
2021-01-15,3003.104557300001,2163.8492257880994,,0,0.0,0.05832445496024041,0.0
2021-01-16,3191.8588067151823,2358.913350630265,,0,0.0,0.06285303951750665,0.0
2021-01-17,3371.6021843084936,2548.7933876007473,,0,0.0,0.05631307287626841,0.0
2021-01-18,3577.887130960399,2737.7670497781137,,0,0.0,0.06118306234702309,0.0
2021-01-19,3759.726649449975,2925.8636125763082,,0,0.0,0.050823156749711496,0.0
2021-01-20,3931.480575423269,3110.05044788466,,0,0.0,0.045682556735453295,0.0
2021-01-21,4160.793550801701,3298.09541611648,,0,0.0,0.05832738353380873,0.0
2021-01-22,4356.27802479197,3486.6202912544672,,0,0.0,0.046982497834482384,0.0
2021-01-23,4557.628588885728,3674.7962982586987,,0,0.0,0.0462207790567668,0.0
2021-01-24,4729.133625161459,3863.9493693798177,,0,0.0,0.037630323079411276,0.0
2021-01-25,4918.245970670956,4055.4635107169133,,0,0.0,0.039988792979610555,0.0
2021-01-26,5120.464422465153,4248.324072291911,,0,0.0,0.041115969595682866,0.0
2021-01-27,5297.444550916707,4440.908308952732,,0,0.0,0.034563296187565484,0.0
2021-01-28,5504.95851128362,4633.6154469850535,,0,0.0,0.03917246483136916,0.0
2021-01-29,5692.9457374852445,4826.937355788581,,0,0.0,0.03414870898959599,0.0
2021-01-30,5887.111862489379,5022.500484495192,,0,0.0,0.03410644224582127,0.0
2021-01-31,6075.077730244791,5213.9289024395,,0,0.0,0.03192836693881529,0.0
2021-02-01,6312.123293934969,5409.513429353801,,0,0.0,0.03901934661840545,0.0
2021-02-02,6511.853349440211,5604.935905409249,,0,0.0,0.03164229312458988,0.0
2021-02-03,6690.699130861093,5801.092455979213,,0,0.0,0.027464651278772623,0.0
2021-02-04,6907.150029103157,5999.982861822433,,0,0.0,0.03235101355009018,0.0
2021-02-05,7082.733156103736,6196.20973518629,,0,0.0,0.025420488372304373,0.0
2021-02-06,7286.910428003832,6395.1563228950035,,0,0.0,0.028827469198686506,0.0
2021-02-07,7447.717025526236,6589.432174319265,,0,0.0,0.022067870754170382,0.0
2021-02-08,7621.153304548267,6782.252931025568,,0,0.0,0.023287173563065977,0.0
